Record_ID,Company_Type,D-U-N-S@_Number,Latitude,Line_of_Business,Longtitude,Manufacturing_Indicator,Subsidiary_Status,Web_Address_(URL),Year_of_Founding,Auditors,Location_Type,Physical_Address,Physical_City,Physical_Country/Region,Physical_County,Physical_State,Physical_Zipcode,Primary_NAICS_Code,Primary_NAICS_Description
951235048,Private,13-911-1734,36.81702,REFUSE SYSTEM,-76.3751,Manufacturer,Non-Subsidiary,,2025,,Single Location,1030 STANLEY RD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,23701,562119,Other Waste Collection
951235049,Private,13-301-1562,37.04061,HEALTH/ALLIED SERVICES,-76.34977,Manufacturer,Non-Subsidiary,,2024,,Single Location,85 FOLEY ST,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236692748,621999,All Other Miscellaneous Ambulatory Health Care Services
951235050,Private,13-344-2329,36.83243,HEALTH/ALLIED SERVICES,-76.37862,Manufacturer,Non-Subsidiary,,2024,,Single Location,315 PENNINGTON BLVD,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237011227,621999,All Other Miscellaneous Ambulatory Health Care Services
951235051,Private,13-301-5145,37.00236,HEALTH/ALLIED SERVICES,-76.39617,Manufacturer,Non-Subsidiary,WWW.EUVIVAWELL.COM,2024,,Single Location,517 VAUGHAN AVE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236612223,621999,All Other Miscellaneous Ambulatory Health Care Services
951235052,Private,13-220-1052,37.00587,HEALTH PRACTITIONER'S OFFICE,-76.36782,Manufacturer,Non-Subsidiary,,2024,,Single Location,142 ALLEGHANY RD,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236613407,621399,Offices of All Other Miscellaneous Health Practitioners
951235053,Private,13-780-5473,36.82589,HEALTH/ALLIED SERVICES,-76.34171,Manufacturer,Non-Subsidiary,,2025,,Single Location,3301 BRIGHTON ST,PORTSMOUTH,USA,PORTSMOUTH CITY,VIRGINIA,237074405,621999,All Other Miscellaneous Ambulatory Health Care Services
951235054,Private,08-478-5796,37.007272,HOME HEALTH CARE SERVICES,-76.387177,Manufacturer,Non-Subsidiary,,2023,,Single Location,704 DELAWARE AVE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236612312,621610,Home Health Care Services
951235055,Private,03-227-6381,36.995799,HEALTH/ALLIED SERVICES,-76.396488,Manufacturer,Non-Subsidiary,,2023,,Single Location,379 SAMPSON AVE,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236612528,621999,All Other Miscellaneous Ambulatory Health Care Services
951235056,Private,13-159-1290,37.043813,SINGLE-FAMILY HOUSE CONSTRUCTION,-76.403346,Manufacturer,Non-Subsidiary,WWW.3RIVEAM.COM,2024,,Single Location,71 TWIN LAKES CIR,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236662360,236115,New Single-Family Housing Construction (except For-Sale Builders)
951235057,Private,13-877-3527,37.01685,HEALTH/ALLIED SERVICES,-76.40419,Manufacturer,Non-Subsidiary,,2025,,Single Location,11 STRATUM WAY,HAMPTON,USA,HAMPTON CITY,VIRGINIA,236611035,621999,All Other Miscellaneous Ambulatory Health Care Services
